20:41:02, 03514EF4 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
20:41:11, 03515D84 ,192.168.31.1.35471 , 239.255.255.250.1900 , 496
20:41:11, 03515F88 ,192.168.31.1.35471 , 239.255.255.250.1900 , 514
20:41:11, 035161A0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
20:41:11, 035163A8 ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
20:41:11, 03514EF4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
20:41:11, 035150FC ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
20:41:11, 03515304 ,192.168.31.1.35471 , 239.255.255.250.1900 , 514
20:41:11, 0351551C ,192.168.31.1.35471 , 239.255.255.250.1900 , 496
20:41:11, 03515720 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
20:41:11, 035158F0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 482
20:41:11, 03515AE8 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
20:41:11, 03515CB8 ,192.168.31.1.35471 , 239.255.255.250.1900 , 502
20:41:11, 03515EC4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
20:41:11, 03516094 ,192.168.31.1.35471 , 239.255.255.250.1900 , 506
20:41:11, 035162A4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 434
21:01:23, 03474EF4 ,59.36.119.115.8000 , 192.168.31.240.4007 , 545
21:01:23, 0347512C ,192.168.31.240.4007 , 59.36.119.115.8000 , 97
21:01:26, 03474EF4 ,192.168.31.136.5353 , 224.0.0.251.5353 , 91
21:01:28, 03474EF4 ,192.168.31.240.4007 , 59.36.119.115.8000 , 81
21:01:28, 03474F5C ,59.36.119.115.8000 , 192.168.31.240.4007 , 89
21:01:29, 03474EF4 ,192.168.31.240.4007 , 59.36.119.115.8000 , 81
21:01:29, 03474F5C ,59.36.119.115.8000 , 192.168.31.240.4007 , 105
21:01:29, 03474FDC ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
21:01:30, 03474EF4 ,192.168.31.136.5353 , 224.0.0.251.5353 , 91
21:01:31, 03474EF4 ,192.168.31.240.55726 , 192.168.31.1.53 , 75
21:01:31, 03474F54 ,192.168.31.1.53 , 192.168.31.240.55726 , 448
21:01:32, 03474EF4 ,192.168.31.240.63109 , 192.168.31.1.53 , 84
21:01:32, 03474F5C ,192.168.31.1.53 , 192.168.31.240.63109 , 243
21:01:32, 03475064 ,192.168.31.240.62612 , 192.168.31.1.53 , 78
21:01:32, 034750C8 ,192.168.31.1.53 , 192.168.31.240.62612 , 408
21:01:33, 03475274 ,192.168.31.240.53789 , 192.168.31.1.53 , 72
21:01:33, 034752D0 ,192.168.31.240.57858 , 192.168.31.1.53 , 72
21:01:33, 0347532C ,192.168.31.1.53 , 192.168.31.240.53789 , 479
21:01:33, 03475520 ,192.168.31.1.53 , 192.168.31.240.57858 , 479
21:01:33, 03475714 ,192.168.31.240.54310 , 192.168.31.1.53 , 80
21:01:33, 03475778 ,192.168.31.1.53 , 192.168.31.240.54310 , 391
21:01:33, 03475914 ,192.168.31.240.62361 , 192.168.31.1.53 , 80
21:01:33, 03475978 ,192.168.31.1.53 , 192.168.31.240.62361 , 132
21:01:33, 03474EF4 ,192.168.31.136.5353 , 224.0.0.251.5353 , 91
21:01:33, 03474F64 ,192.168.31.240.51744 , 192.168.31.1.53 , 74
21:01:33, 03474FC4 ,192.168.31.1.53 , 192.168.31.240.51744 , 404
21:01:33, 0347516C ,192.168.31.240.64075 , 192.168.31.1.53 , 78
21:01:33, 034751D0 ,192.168.31.1.53 , 192.168.31.240.64075 , 408
21:01:33, 0347537C ,192.168.31.240.64909 , 192.168.31.1.53 , 78
21:01:33, 034753E0 ,192.168.31.1.53 , 192.168.31.240.64909 , 548
21:01:33, 03475618 ,192.168.31.240.63937 , 192.168.31.1.53 , 84
21:01:33, 03475680 ,192.168.31.1.53 , 192.168.31.240.63937 , 428
21:01:33, 03475840 ,192.168.31.240.53067 , 192.168.31.1.53 , 84
21:01:33, 034758A8 ,192.168.31.1.53 , 192.168.31.240.53067 , 141
21:01:33, 0347594C ,192.168.31.240.56937 , 192.168.31.1.53 , 75
21:01:33, 034759AC ,192.168.31.1.53 , 192.168.31.240.56937 , 483
21:01:33, 03475BA4 ,192.168.31.240.49731 , 192.168.31.1.53 , 84
21:01:33, 03475C0C ,192.168.31.1.53 , 192.168.31.240.49731 , 476
21:01:33, 03475DFC ,192.168.31.240.62595 , 192.168.31.1.53 , 84
21:01:33, 03475E64 ,192.168.31.1.53 , 192.168.31.240.62595 , 141
21:01:33, 03474EF4 ,192.168.31.240.56373 , 192.168.31.1.53 , 78
21:01:33, 03474F58 ,192.168.31.1.53 , 192.168.31.240.56373 , 548
21:01:42, 03474EF4 ,192.168.31.136.5353 , 224.0.0.251.5353 , 91
21:01:42, 03474F64 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
21:01:43, 03474EF4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 434
21:01:43, 034750BC ,192.168.31.1.35471 , 239.255.255.250.1900 , 506
21:01:43, 034752CC ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
21:01:43, 0347549C ,192.168.31.1.35471 , 239.255.255.250.1900 , 502
21:01:43, 034756A8 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
21:01:43, 03475878 ,192.168.31.1.35471 , 239.255.255.250.1900 , 482
21:01:43, 03475A70 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
21:01:43, 03475C40 ,192.168.31.1.35471 , 239.255.255.250.1900 , 496
21:01:43, 03475E44 ,192.168.31.1.35471 , 239.255.255.250.1900 , 514
21:01:43, 0347605C ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
21:01:43, 03476264 ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
21:01:43, 03474EF4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
21:01:43, 034750FC ,192.168.31.1.35471 , 239.255.255.250.1900 , 498
21:01:43, 03475304 ,192.168.31.1.35471 , 239.255.255.250.1900 , 514
21:01:43, 0347551C ,192.168.31.1.35471 , 239.255.255.250.1900 , 496
21:01:43, 03475720 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
21:01:43, 034758F0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 482
21:01:43, 03474EF4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
21:01:43, 034750C4 ,192.168.31.1.35471 , 239.255.255.250.1900 , 502
21:01:43, 034752D0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 443
21:01:43, 034754A0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 506
21:01:43, 034756B0 ,192.168.31.1.35471 , 239.255.255.250.1900 , 434
21:01:44, 03474EF4 ,192.168.31.136.5353 , 224.0.0.251.5353 , 91
21:01:45, 03474EF4 ,59.36.119.115.8000 , 192.168.31.240.4007 , 129
21:01:45, 03474F8C ,192.168.31.136.5353 , 224.0.0.251.5353 , 91
